{'label': 'chair', 'location': 'right', 'depth': 500, 'range': 'Clear'}
{'label': 'chair', 'location': 'right', 'depth': 500, 'range': 'Clear'}
{'label': 'chair', 'location': 'right', 'depth': 500, 'range': 'Clear'}
{'label': 'chair', 'location': 'left', 'depth': 500, 'range': 'Clear'}
{'label': 'chair', 'location': 'right', 'depth': 500, 'range': 'Clear'}
{'label': 'chair', 'location': 'left', 'depth': 500, 'range': 'Clear'}
{'label': 'chair', 'location': 'left', 'depth': 500, 'range': 'Clear'}
{'label': 'toilet', 'location': 'center', 'depth': 500, 'range': 'Clear'}
{'label': 'chair', 'location': 'right', 'depth': 500, 'range': 'Clear'}
{'label': 'chair', 'location': 'left', 'depth': 500, 'range': 'Clear'}
{'label': 'toilet', 'location': 'center', 'depth': 500, 'range': 'Clear'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'left', 'depth': 240, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'left', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'left', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'left', 'depth': 321, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'left', 'depth': 321, 'range': 'Fine'}
{'label': 'chair', 'location': 'left', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 321, 'range': 'Fine'}
{'label': 'chair', 'location': 'left', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'left', 'depth': 214, 'range': 'Close'}
{'label': 'toilet', 'location': 'center', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 192, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 192, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 192, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 321, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 192, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 192, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 321, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 192, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 192, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 192, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 321, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 192, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 321, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 214, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 321, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 192, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 192, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 321, 'range': 'Fine'}
{'label': 'chair', 'location': 'right', 'depth': 385, 'range': 'Fine'}
{'label': 'toilet', 'location': 'center', 'depth': 192, 'range': 'Close'}
{'label': 'chair', 'location': 'left', 'depth': 385, 'range': 'Fine'}
